辽宁移动,#group#
央视频道,#genre#
CCTV1 综合,http://39.134.61.206/TVOD/88888888/224/3221226415/index.m3u8
CCTV2 财经,http://39.134.61.206/TVOD/88888888/224/3221226417/index.m3u8
CCTV3 综艺,http://39.134.61.206/TVOD/88888888/224/3221226898/index.m3u8
CCTV4 中文国际,http://39.134.61.206/TVOD/88888888/224/3221226432/index.m3u8
CCTV5 体育,http://39.134.61.206/TVOD/88888888/224/3221226900/index.m3u8
CCTV5+ 体育赛事,http://39.134.61.206/TVOD/88888888/224/3221226445/index.m3u8
CCTV6 电影,http://39.134.61.206/TVOD/88888888/224/3221226847/index.m3u8
CCTV7 国防军事,http://39.134.61.206/TVOD/88888888/224/3221226925/index.m3u8
CCTV8 电视剧,http://39.134.61.206/TVOD/88888888/224/3221226902/index.m3u8
CCTV9 纪录,http://39.134.61.206/TVOD/88888888/224/3221226470/index.m3u8
CCTV10 科教,http://39.134.61.206/TVOD/88888888/224/3221226462/index.m3u8
CCTV11 戏曲,http://39.134.61.206/TVOD/88888888/224/3221226558/index.m3u8
CCTV12 社会与法,http://39.134.61.206/TVOD/88888888/224/3221226439/index.m3u8
CCTV13 新闻,http://39.134.61.206/TVOD/88888888/224/3221226481/index.m3u8
CCTV14 少儿,http://39.134.61.206/TVOD/88888888/224/3221226464/index.m3u8
CCTV15 音乐,http://39.134.61.206/TVOD/88888888/224/3221226498/index.m3u8
CCTV16 奥林匹克,http://39.134.61.206/TVOD/88888888/224/3221226773/index.m3u8
CCTV17 农村农业,http://39.134.61.206/TVOD/88888888/224/3221226567/index.m3u8
卫视频道,#genre#
鳳凰衛視中文台,http://bxtv.3a.ink/api.php?id=fhzw
鳳凰衛視資訊台,http://bxtv.3a.ink/api.php?id=fhzx
凤凰香港,http://bxtv.3a.ink/api.php?id=fhhk
辽宁卫视,http://39.134.61.206/TVOD/88888888/224/3221226425/index.m3u8
湖南卫视,http://39.134.61.206/TVOD/88888888/224/3221226421/index.m3u8
浙江卫视,http://39.134.61.206/TVOD/88888888/224/3221226427/index.m3u8
江苏卫视,http://39.134.61.206/TVOD/88888888/224/3221226423/index.m3u8
东方卫视,http://39.134.61.206/TVOD/88888888/224/3221226434/index.m3u8
北京卫视,http://39.134.61.206/TVOD/88888888/224/3221226419/index.m3u8
重庆卫视,http://39.134.61.206/TVOD/88888888/224/3221226490/index.m3u8
深圳卫视,http://39.134.61.206/TVOD/88888888/224/3221226463/index.m3u8
四川卫视,http://39.134.61.206/TVOD/88888888/224/3221226488/index.m3u8
广西卫视,http://39.134.61.206/TVOD/88888888/224/3221226580/index.m3u8
天津卫视,http://39.134.61.206/TVOD/88888888/224/3221226465/index.m3u8
安徽卫视,http://39.134.61.206/TVOD/88888888/224/3221226447/index.m3u8
山东卫视,http://39.134.61.206/TVOD/88888888/224/3221226486/index.m3u8
江西卫视,http://39.134.61.206/TVOD/88888888/224/3221226516/index.m3u8
河北卫视,http://39.134.61.206/TVOD/88888888/224/3221226576/index.m3u8
河南卫视,http://39.134.61.206/TVOD/88888888/224/3221226491/index.m3u8
海南卫视,http://39.134.61.206/TVOD/88888888/224/3221226585/index.m3u8
东南卫视,http://39.134.61.206/TVOD/88888888/224/3221226536/index.m3u8
湖北卫视,http://39.134.61.206/TVOD/88888888/224/3221226455/index.m3u8
贵州卫视,http://39.134.61.206/TVOD/88888888/224/3221226616/index.m3u8
吉林卫视,http://39.134.61.206/TVOD/88888888/224/3221226763/index.m3u8
黑龙江卫视,http://39.134.61.206/TVOD/88888888/224/3221226478/index.m3u8
云南卫视,http://39.134.61.206/TVOD/88888888/224/3221226634/index.m3u8
广东卫视,http://39.134.61.206/TVOD/88888888/224/3221226436/index.m3u8
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
辽宁频道,#genre#
辽宁卫视,http://39.134.61.206/TVOD/88888888/224/3221226425/index.m3u8
辽宁北方,http://39.134.61.206/TVOD/88888888/224/3221226515/index.m3u8
辽宁都市,http://39.134.61.206/TVOD/88888888/224/3221226524/index.m3u8
辽宁公共,http://39.134.61.206/TVOD/88888888/224/3221226528/index.m3u8
辽宁教育青少,http://39.134.61.206/TVOD/88888888/224/3221226473/index.m3u8
辽宁经济,http://39.134.61.206/TVOD/88888888/224/3221226504/index.m3u8
辽宁生活,http://39.134.61.206/TVOD/88888888/224/3221226489/index.m3u8
辽宁体育,http://39.134.61.206/TVOD/88888888/224/3221226508/index.m3u8
辽宁影视剧,http://39.134.61.206/TVOD/88888888/224/3221226512/index.m3u8
新闻综合,http://39.134.61.206/TVOD/88888888/224/3221226593/index.m3u8
小品轮播,https://live.iill.top/douyu/9817716
营养快线,#group#
香港频道,#genre#
凤凰中文,http://iptv.4666888.xyz/iptv.php?id=20060
凤凰资讯,http://iptv.4666888.xyz/iptv.php?id=20061
凤凰香港,http://iptv.4666888.xyz/iptv.php?id=20062
凤凰中文,http://iptv.4666888.xyz/iptv.php?id=20063
凤凰资讯,http://iptv.4666888.xyz/iptv.php?id=20064
凤凰香港,http://iptv.4666888.xyz/iptv.php?id=20065
TVB翡翠,http://iptv.4666888.xyz/iptv.php?id=20066
TVB翡翠(新加坡),http://iptv.4666888.xyz/iptv.php?id=20067
TVB翡翠(马来),http://iptv.4666888.xyz/iptv.php?id=20068
TVB无线新闻,http://iptv.4666888.xyz/iptv.php?id=20069
TVB无线新闻(北美),http://iptv.4666888.xyz/iptv.php?id=20070
TVB明珠,http://iptv.4666888.xyz/iptv.php?id=20071
TVB_Plus,http://iptv.4666888.xyz/iptv.php?id=20072
TVB娱乐新闻,http://iptv.4666888.xyz/iptv.php?id=20073
TVB生活,http://iptv.4666888.xyz/iptv.php?id=20074
ViuTV,http://iptv.4666888.xyz/iptv.php?id=20075
ViuTV6,http://iptv.4666888.xyz/iptv.php?id=20076
HOY76,http://iptv.4666888.xyz/iptv.php?id=20077
HOY77,http://iptv.4666888.xyz/iptv.php?id=20078
HOY78,http://iptv.4666888.xyz/iptv.php?id=20079
RTHK31,http://iptv.4666888.xyz/iptv.php?id=20080
RTHK32,http://iptv.4666888.xyz/iptv.php?id=20081
Now新闻,http://iptv.4666888.xyz/iptv.php?id=20082
Now新闻,http://iptv.4666888.xyz/iptv.php?id=20083
Now新闻,http://iptv.4666888.xyz/iptv.php?id=20084
Now财经,http://iptv.4666888.xyz/iptv.php?id=20085
Now星影(粤),http://iptv.4666888.xyz/iptv.php?id=20086
Now爆谷(粤),http://iptv.4666888.xyz/iptv.php?id=20087
Now星影(国),http://iptv.4666888.xyz/iptv.php?id=20088
Now爆谷(国),http://iptv.4666888.xyz/iptv.php?id=20089
Now紫金国际,http://iptv.4666888.xyz/iptv.php?id=20090
Now剧集,http://iptv.4666888.xyz/iptv.php?id=20091
Now直播,http://iptv.4666888.xyz/iptv.php?id=20093
Now英超1,http://iptv.4666888.xyz/iptv.php?id=20092
Now668赛马,http://iptv.4666888.xyz/iptv.php?id=20094
TVB1,http://iptv.4666888.xyz/iptv.php?id=20095
TVBJ1,http://iptv.4666888.xyz/iptv.php?id=20096
TVBE,http://iptv.4666888.xyz/iptv.php?id=20097
TVB明珠剧集,http://iptv.4666888.xyz/iptv.php?id=20098
TVB翡翠剧集,http://iptv.4666888.xyz/iptv.php?id=20099
TVB黄金华剧,http://iptv.4666888.xyz/iptv.php?id=20100
TVB星河(粤),http://iptv.4666888.xyz/iptv.php?id=20101
TVB星河(国),http://iptv.4666888.xyz/iptv.php?id=20102
TVB武侠(粤),http://iptv.4666888.xyz/iptv.php?id=20103
TVB武侠(国),http://iptv.4666888.xyz/iptv.php?id=20104
TVB千禧经典,http://iptv.4666888.xyz/iptv.php?id=20105
MYTV_SUPER黄金翡翠,http://iptv.4666888.xyz/iptv.php?id=20106
MYTV_SUPER经典,http://iptv.4666888.xyz/iptv.php?id=20107
MYTV_SUPER黄金华,http://iptv.4666888.xyz/iptv.php?id=20108
MYTV_SUPER亚洲剧,http://iptv.4666888.xyz/iptv.php?id=20109
MYTV_SUPER少儿,http://iptv.4666888.xyz/iptv.php?id=20110
MYTV_SUPER_FREE,http://iptv.4666888.xyz/iptv.php?id=20111
MYTV_SUPER粤语片,http://iptv.4666888.xyz/iptv.php?id=20112
MYTV_SUPER戏曲,http://iptv.4666888.xyz/iptv.php?id=20113
天映经典,http://iptv.4666888.xyz/iptv.php?id=20114
天映经典2,http://iptv.4666888.xyz/iptv.php?id=20115
天映频道,http://iptv.4666888.xyz/iptv.php?id=20116
